user,listened,total,percentage,hits,status
E_philia,187,306,61.111111111111114,67,ok
yggdrasill_norn,187,306,61.111111111111114,54,ok
potadou,187,306,61.111111111111114,52,ok
giftcard,187,306,61.111111111111114,35,ok
Rockwell3575,186,306,60.78431372549019,108,ok
minmin_ev,186,306,60.78431372549019,77,ok
KPA_1953,186,306,60.78431372549019,54,ok
feindeath,186,306,60.78431372549019,52,ok
Katsu_Rey,186,306,60.78431372549019,47,ok
q22481067,186,306,60.78431372549019,41,ok
evergreen_ttd,185,306,60.45751633986928,62,ok
barkhorn0331,185,306,60.45751633986928,61,ok
Rainbow_240_,185,306,60.45751633986928,51,ok
sphere0806,185,306,60.45751633986928,50,ok
peer4321,185,306,60.45751633986928,48,ok
Nago_RoseMas,185,306,60.45751633986928,45,ok
saki750086,185,306,60.45751633986928,44,ok
oscar865,184,306,60.130718954248366,42,ok
maximumdr1203,184,306,60.130718954248366,40,ok
YGX,184,306,60.130718954248366,30,ok
jovivoid,184,306,60.130718954248366,27,ok
Mette_Jeong,183,306,59.80392156862745,44,ok
whb,183,306,59.80392156862745,34,ok
yossy_014,183,306,59.80392156862745,33,ok
amoxicillin,182,306,59.47712418300654,70,ok
dxgzssk,182,306,59.47712418300654,67,ok
enya_r,182,306,59.47712418300654,64,ok
NY_haruka0403,182,306,59.47712418300654,51,ok
maedayousuke,182,306,59.47712418300654,48,ok
keynnx,182,306,59.47712418300654,42,ok
reiki99088,182,306,59.47712418300654,42,ok
417_72ki,182,306,59.47712418300654,41,ok
naito_LI944,182,306,59.47712418300654,38,ok
RedWhile_0505,181,306,59.150326797385624,63,ok
titanloong1219,181,306,59.150326797385624,58,ok
0jiyama,181,306,59.150326797385624,44,ok
HEART_OF_SWORD,181,306,59.150326797385624,39,ok
anatatorico,181,306,59.150326797385624,36,ok
hiunlink,181,306,59.150326797385624,31,ok
dokusheen,181,306,59.150326797385624,27,ok
Silvia773,181,306,59.150326797385624,27,ok
gammaraptor,180,306,58.82352941176471,72,ok
FeiY,180,306,58.82352941176471,36,ok
rana_honoi,180,306,58.82352941176471,34,ok
ARIA_Audi32,180,306,58.82352941176471,28,ok
step_ng0048,179,306,58.496732026143796,64,ok
2_shiki168,179,306,58.496732026143796,63,ok
yuubon_24Oyu,179,306,58.496732026143796,55,ok
pie_rre3112,179,306,58.496732026143796,50,ok
Suzume_san,179,306,58.496732026143796,46,ok
yasumumi,179,306,58.496732026143796,42,ok
RyoZuc,179,306,58.496732026143796,35,ok
PrideOfJeju,179,306,58.496732026143796,22,ok
kocha_mofu,178,306,58.16993464052288,90,ok
Aaa,178,306,58.16993464052288,76,ok
Teteshi666,178,306,58.16993464052288,70,ok
Fuji,178,306,58.16993464052288,66,ok
Rollei_35,178,306,58.16993464052288,54,ok
kazulock7,178,306,58.16993464052288,37,ok
ncnotnc,178,306,58.16993464052288,37,ok
sebalef10121,178,306,58.16993464052288,37,ok
tommygary4118,178,306,58.16993464052288,34,ok
Loey,178,306,58.16993464052288,31,ok
BaffyRana,178,306,58.16993464052288,22,ok
koba_81_open,177,306,57.84313725490197,65,ok
nepcom7,177,306,57.84313725490197,58,ok
PROG,177,306,57.84313725490197,57,ok
NonR,177,306,57.84313725490197,40,ok
tolove182128,177,306,57.84313725490197,40,ok
flosuire33,177,306,57.84313725490197,38,ok
zozozoe,177,306,57.84313725490197,35,ok
lyliutwo,177,306,57.84313725490197,34,ok
Ashita_torico,177,306,57.84313725490197,33,ok
optimisticmemet,177,306,57.84313725490197,30,ok
masa_FLARE1729,177,306,57.84313725490197,29,ok
MilkyAround,177,306,57.84313725490197,29,ok
shil_dream,176,306,57.51633986928104,93,ok
KayaSpica,176,306,57.51633986928104,62,ok
okamizu_kyawawa,176,306,57.51633986928104,60,ok
tenten570,176,306,57.51633986928104,48,ok
yutty5252,176,306,57.51633986928104,31,ok
Islalfa,176,306,57.51633986928104,28,ok
Effect,176,306,57.51633986928104,24,ok
double_lung,176,306,57.51633986928104,23,ok
jgw0087,175,306,57.18954248366013,87,ok
X_1111,175,306,57.18954248366013,53,ok
Kagyo_Alice,175,306,57.18954248366013,49,ok
GoldenAchan,175,306,57.18954248366013,37,ok
Lisa825Sayo320,175,306,57.18954248366013,34,ok
littleclean86,175,306,57.18954248366013,30,ok
VsjKexjBNFkbiZ6,175,306,57.18954248366013,27,ok
Astral,175,306,57.18954248366013,26,ok
kaorietoile,175,306,57.18954248366013,21,ok
ader1077731,175,306,57.18954248366013,18,ok
tatsuki1986,174,306,56.86274509803921,79,ok
Jun_GRB,174,306,56.86274509803921,71,ok
MEMORiA,174,306,56.86274509803921,59,ok
wonder_land51,174,306,56.86274509803921,53,ok
daisy_sora,174,306,56.86274509803921,52,ok
UoxoU_Dr_M,174,306,56.86274509803921,48,ok
Mathematics496,174,306,56.86274509803921,42,ok
cn_msay,174,306,56.86274509803921,41,ok
icchiy3,174,306,56.86274509803921,40,ok
yukikaze616,174,306,56.86274509803921,31,ok
illusionMeng,174,306,56.86274509803921,30,ok
yak991224_1,174,306,56.86274509803921,28,ok
misuzu_bd,173,306,56.5359477124183,73,ok
su_3stars,173,306,56.5359477124183,61,ok
kazuhikh_sound,173,306,56.5359477124183,59,ok
cozasaifa,173,306,56.5359477124183,40,ok
Scottt123,173,306,56.5359477124183,38,ok
pomodoki,173,306,56.5359477124183,34,ok
oYa4um1_,173,306,56.5359477124183,23,ok
Salty_Ring,173,306,56.5359477124183,20,ok
tktkhim,172,306,56.209150326797385,60,ok
lostdeviant589,172,306,56.209150326797385,50,ok
Passion,172,306,56.209150326797385,46,ok
hitsdu_wh,172,306,56.209150326797385,28,ok
beruze_irutoa,172,306,56.209150326797385,24,ok
shamuru,171,306,55.88235294117647,84,ok
donber7,171,306,55.88235294117647,74,ok
Y_N_fSLL,171,306,55.88235294117647,44,ok
settemare_m,171,306,55.88235294117647,43,ok
rai_3710ykn,171,306,55.88235294117647,40,ok
badpenalutiy404,171,306,55.88235294117647,35,ok
SUFE_IDOL,171,306,55.88235294117647,35,ok
szerenne,171,306,55.88235294117647,34,ok
guazi,171,306,55.88235294117647,29,ok
snowfish,171,306,55.88235294117647,26,ok
juniti747,171,306,55.88235294117647,24,ok
liusu119_1,171,306,55.88235294117647,19,ok
RYUSAIKOU,170,306,55.55555555555556,71,ok
shindenj7,170,306,55.55555555555556,64,ok
Cr_9661015,170,306,55.55555555555556,53,ok
AfyAfyAfyAfyAfy,170,306,55.55555555555556,50,ok
wakaba628,170,306,55.55555555555556,40,ok
9KRA3,170,306,55.55555555555556,34,ok
kuroXshiro,170,306,55.55555555555556,29,ok
_rollingworld,169,306,55.22875816993464,48,ok
anime__shu,169,306,55.22875816993464,36,ok
luis246,169,306,55.22875816993464,35,ok
Sandman_0405,169,306,55.22875816993464,31,ok
a1021909626,169,306,55.22875816993464,29,ok
slaineqaq,169,306,55.22875816993464,20,ok
ElainaLilith,169,306,55.22875816993464,18,ok
flandre0915,168,306,54.90196078431373,51,ok
mt05304022,168,306,54.90196078431373,40,ok
green_ghost,168,306,54.90196078431373,34,ok
ino_pi_,168,306,54.90196078431373,23,ok
hiron_r_,167,306,54.57516339869281,61,ok
hanekoda,167,306,54.57516339869281,51,ok
pochi,167,306,54.57516339869281,51,ok
iom110223,167,306,54.57516339869281,43,ok
azuki_iRis,167,306,54.57516339869281,42,ok
bj6676,167,306,54.57516339869281,35,ok
